IDENTIFIANT,DATE_HEURE_OUVERTURE,CODE_EVENEMENT,DATE_SINISTRE,COMMUNE_SINISTRE,CODE_POSTAL_SINISTRE,DEPARTEMENT_SINISTRE,PAYS_SINISTRE,DISTANCE_DOMICILE_SINSITRE,AGE,MARQUE,CODE_POSTAL_ASSURE,DEPARTEMENT_ASSURE,PAYS_ASSURE,VEH_MARQUE,VEH_MODELE,VEH_DATE_MISE_CIRCULATION,VEH_CODE_CARBURANT,VEH_GENRE,VEH_TYPE_BOITE,VEJH_TYPE_TRANSMMISSION,VEH_KILOMETRAGE,VEH_HAUTEUR,VEH_LONGUEUR,VEH_LARGEUR,VEH_EMPATTEMENT,VEH_CATEGORIE,VEH_POID_A_VIDE,VEH_CATEGORIE_PTAC,DATE_HEURE_PRISE_EN_CHARGE,NATURE_PANNE,CATEGORIE_PANNE,DATE_HEURE_SINISTRE,TEMPERATURE,HUMIDITE,VITESSE_VENT,PRECIPITATIONS,PRESSION,ETAT_SOL,HAUTEUR_COUCHE_NEIGE
cTRCZiZZ0c2t,2022-02-04 19:34:00,PA,2022-02-04,LA FERE,2800.0,2.0,33,184,36.0,MAAF,62850.0,62.0,33.0,PEU,3008,28/04/2014,D,VL,SEQ,AV,100000.0,1.63,4.37,1.84,2.61,,1423.0,2,2022-02-04 20:10:00,124,ALUM,2022-02-04 19:55:00,7.800000000000011,87.0,5.1,0.2,100270.0,1.0,0.0
ezq8TdUt3zEY,2023-02-27 07:58:00,PA,2023-02-27,LUTTERBACH,68460.0,68.0,33,15,,MMA,68440.0,68.0,33.0,CIT,SAXO,08/02/2002,D,VL,MAN,AV,306016.0,1.39,3.72,1.9,2.39,,880.0,1,2023-02-27 14:04:00,159,ECHAP,2023-02-27 13:49:00,2.400000000000034,51.0,6.6,0.0,98810.0,0.0,0.0
9kTzCCsaGntJ,2022-10-12 11:20:00,PA,2022-10-12,LA BAULE-ESCOUBLAC,44500.0,44.0,33,1,68.0,MAAF,44500.0,44.0,33.0,MIN,MINI,29/12/2009,D,VL,,,98302.0,1.41,3.71,1.68,2.47,1.0,1090.0,1,2022-10-12 13:53:00,111,DEM,2022-10-12 13:38:00,14.400000000000034,86.0,0.6,0.0,102110.0,0.0,0.0
mcdaOeAmPaa3,2022-12-05 12:55:00,PA,2022-12-05,NOYELLES-SUR-SELLE,59282.0,59.0,33,1,41.0,MAAF,59282.0,59.0,33.0,MER,CLASSE C,15/05/2013,D,VL,AUT,4R,,1.44,4.6,1.77,2.76,,1660.0,2,2022-12-05 14:12:00,111,DEM,2022-12-05 13:57:00,2.700000000000045,99.0,2.1,0.8,101460.0,,0.0
rJIboRqS9F2U,2023-05-26 17:27:00,PA,2023-05-26,BEAUNE,21200.0,21.0,33,7,41.0,MAAF,21550.0,21.0,33.0,PEU,3008,14/04/2011,D,VL,MAN,AV,209251.0,1.63,4.37,1.84,2.61,1.0,1529.0,2,2023-05-26 17:49:00,243,BOIT,2023-05-26 17:34:00,15.600000000000025,71.0,3.1,0.0,99450.0,0.0,0.0
iPDNYmhCfonY,2021-12-16 10:09:00,PA,2021-12-16,VEAUCHE,42340.0,42.0,33,1,,MMA,42340.0,42.0,33.0,REN,TRAFIC III,29/06/2015,D,UT,,,172243.0,1.95,5.0,1.96,3.1,1.0,1665.0,2,2021-12-16 11:45:00,166,MOT,2021-12-16 11:30:00,-2.7999999999999545,98.0,1.2,0.0,93340.0,,0.0
FnWTtq6ftG5B,2022-01-08 19:47:00,PA,2022-01-08,LE VAL-SAINT-GERMAIN,91530.0,91.0,33,29,,GMF,28700.0,28.0,33.0,SEA,LEON,20/04/2018,D,VL,SEQ,AV,,1.45,4.55,1.82,2.62,1.0,1251.0,2,2022-01-08 20:20:00,221,PNEU,2022-01-08 20:05:00,8.100000000000023,93.0,7.2,1.4,99390.0,2.0,0.0
fQhAXPvvb5ZL,2022-01-02 22:33:00,PA,2022-01-02,PARIS,75015.0,75.0,33,1,,GMF,75015.0,75.0,33.0,REN,GRAND SCENIC,22/09/2008,D,UT,AUT,AV,208692.0,1.64,4.49,1.81,2.74,1.0,1540.0,2,2022-01-02 23:12:00,223,PNEU,2022-01-02 22:57:00,10.5,88.0,4.0,0.0,100950.0,0.0,0.0
RlBkSaUfOXPP,2024-01-22 11:06:00,PA,2024-01-22,BOUISSE,11330.0,11.0,33,8,,MMA,11330.0,11.0,33.0,VWG,MULTIVAN,01/01/2001,,VL,MAN,AV,,,,,,,,1,2024-01-22 12:42:00,111,DEM,2024-01-22 12:27:00,12.0,69.0,1.8,0.0,102500.0,0.0,0.0
93UWkR3uBxxm,2022-09-15 19:00:00,PA,2022-09-15,FRANCARDO,20236.0,20.0,33,56,,GMF,20200,20.0,33.0,CIT,DS3,23/01/2014,E,VL,MAN,AV,,1.46,3.95,1.72,2.45,1.0,1090.0,1,2022-09-15 20:00:00,168,MOT,2022-09-15 19:45:00,27.80000000000001,69.0,4.8,0.0,100800.0,,0.0
